player,matches,Inns,balls,maiden,runs,wickets,avg,economy
SA Abbott,1.0,1,60.0,0,61,2,30.5,6.1
Abdullah Shafique,8.0,0,0.0,0,0,0,0,0
CN Ackermann,9.0,9,284.0,2,234,5,46.8,4.94
Agha Salman,3.0,2,30.0,0,46,0,0,9.2
MM Ali,6.0,6,256.0,0,248,5,49.6,5.81
KIC Asalanka,9.0,1,6.0,0,10,0,0,10
R Ashwin,1.0,1,60.0,1,34,1,34,3.4
AAP Atkinson,3.0,3,144.0,0,146,4,36.5,6.08
Azmatullah Omarzai,9.0,9,228.0,1,270,7,38.57,7.1
Babar Azam,9.0,0,0.0,0,0,0,0,0
JM Bairstow,9.0,0,0.0,0,0,0,0,0
W Barresi,4.0,0,0.0,0,0,0,0,0
T Bavuma,7.0,0,0.0,0,0,0,0,0
TA Boult,9.0,9,486.0,6,418,13,32.15,5.16
HC Brook,6.0,0,0.0,0,0,0,0,0
JJ Bumrah,9.0,9,437.0,6,266,17,15.64,3.65
JC Buttler,9.0,0,0.0,0,0,0,0,0
AT Carey,1.0,0,0.0,0,0,0,0,0
PVD Chameera,4.0,4,188.0,3,196,2,98,6.25
MS Chapman,7.0,0,0.0,0,0,0,0,0
G Coetzee,7.0,7,327.0,1,349,18,19.38,6.4
DP Conway,9.0,0,0.0,0,0,0,0,0
PJ Cummins,9.0,9,419.0,1,430,10,43,6.15
SM Curran,3.0,3,104.0,2,140,2,70,8.07
Q de Kock,9.0,0,0.0,0,0,0,0,0
BFW de Leede,9.0,8,402.0,0,487,16,30.43,7.26
DM de Silva,8.0,8,150.0,0,174,0,0,6.96
A Dutt,9.0,9,465.0,6,426,10,42.6,5.49
SA Edwards,9.0,0,0.0,0,0,0,0,0
SA Engelbrecht,8.0,0,0.0,0,0,0,0,0
Fakhar Zaman,4.0,0,0.0,0,0,0,0,0
Fazalhaq Farooqi,6.0,6,240.0,2,228,6,38,5.7
LH Ferguson,6.0,6,276.0,3,236,10,23.6,5.13
C Green,3.0,1,12.0,0,11,0,0,5.5
Haris Rauf,9.0,9,474.0,1,533,16,33.31,6.74
Hasan Ali,6.0,6,306.0,2,321,9,35.66,6.29
Hasan Mahmud,2.0,2,84.0,0,132,3,44,9.42
Hashmatullah Shahidi,9.0,0,0.0,0,0,0,0,0
JR Hazlewood,9.0,9,451.0,5,377,12,31.41,5.01
TM Head,4.0,3,84.0,0,76,0,0,5.42
MADI Hemantha,2.0,2,96.0,0,94,0,0,5.87
RR Hendricks,2.0,0,0.0,0,0,0,0,0
MJ Henry,7.0,7,326.0,3,315,11,28.63,5.79
Ibrahim Zadran,9.0,0,0.0,0,0,0,0,0
Iftikhar Ahmed,9.0,8,288.0,0,262,4,65.5,5.45
Ikram Alikhil,7.0,0,0.0,0,0,0,0,0
Imam-ul-Haq,6.0,0,0.0,0,0,0,0,0
JP Inglis,8.0,0,0.0,0,0,0,0,0
Ishan Kishan,2.0,0,0.0,0,0,0,0,0
SS Iyer,9.0,0,0.0,0,0,0,0,0
RA Jadeja,9.0,9,441.0,4,292,16,18.25,3.97
M Jansen,8.0,8,388.0,3,415,17,24.41,6.41
C Karunaratne,3.0,2,72.0,1,73,0,0,6.08
FDM Karunaratne,2.0,0,0.0,0,0,0,0,0
H Klaasen,9.0,0,0.0,0,0,0,0,0
R Klein,1.0,1,42.0,1,41,0,0,5.85
V Kohli,9.0,2,21.0,0,15,1,15,4.28
Kuldeep Yadav,9.0,9,451.0,2,312,14,22.28,4.15
CBRLS Kumara,2.0,2,66.0,0,82,3,27.33,7.45
M Labuschagne,9.0,0,0.0,0,0,0,0,0
TWM Latham,9.0,0,0.0,0,0,0,0,0
Litton Das,9.0,0,0.0,0,0,0,0,0
LS Livingstone,6.0,6,174.0,1,158,3,52.66,5.44
D Madushanka,9.0,9,470.0,4,525,21,25,6.7
KA Maharaj,9.0,9,474.0,1,346,14,24.71,4.37
Mahedi Hasan,3.0,3,144.0,0,149,6,24.83,6.2
Mahmudullah,8.0,3,30.0,0,33,0,0,6.6
DJ Malan,9.0,0,0.0,0,0,0,0,0
AK Markram,9.0,3,63.0,0,62,0,0,5.9
MR Marsh,8.0,4,66.0,0,91,2,45.5,8.27
AD Mathews,5.0,5,133.0,2,107,6,17.83,4.82
GJ Maxwell,7.0,6,315.0,1,260,5,52,4.95
Mehidy Hasan Miraz,9.0,9,432.0,3,402,10,40.2,5.58
BKG Mendis,9.0,0,0.0,0,0,0,0,0
DA Miller,9.0,0,0.0,0,0,0,0,0
DJ Mitchell,9.0,2,9.0,0,12,0,0,8
Mohammad Nabi,9.0,9,369.0,4,254,8,31.75,4.13
Mohammad Nawaz,5.0,5,227.0,0,223,2,111.5,5.89
Mohammad Rizwan,9.0,0,0.0,0,0,0,0,0
Mohammad Wasim,4.0,4,229.0,2,215,10,21.5,5.63
Mohammed Shami,5.0,5,192.0,3,153,16,9.56,4.78
Mohammed Siraj,9.0,9,399.0,6,346,12,28.83,5.2
Mujeeb Ur Rahman,9.0,9,491.0,2,458,8,57.25,5.59
Mushfiqur Rahim,9.0,0,0.0,0,0,0,0,0
Mustafizur Rahman,8.0,8,394.0,3,398,5,79.6,6.06
Najibullah Zadran,2.0,0,0.0,0,0,0,0,0
Nasum Ahmed,3.0,3,147.0,0,172,0,0,7.02
Naveen-ul-Haq,8.0,8,322.0,1,352,8,44,6.55
Najmul Hossain Shanto,9.0,1,6.0,0,5,0,0,5
JDS Neesham,3.0,3,87.0,0,157,2,78.5,10.82
L Ngidi,8.0,8,363.0,6,355,10,35.5,5.86
AT Nidamanuru,7.0,0,0.0,0,0,0,0,0
P Nissanka,9.0,0,0.0,0,0,0,0,0
Noor Ahmad,4.0,4,228.0,1,182,5,36.4,4.78
MP O'Dowd,9.0,0,0.0,0,0,0,0,0
HH Pandya,4.0,4,99.0,0,113,5,22.6,6.84
M Pathirana,2.0,2,114.0,0,185,2,92.5,9.73
MDKJ Perera,7.0,0,0.0,0,0,0,0,0
AL Phehlukwayo,1.0,1,42.0,0,36,1,36,5.14
GD Phillips,9.0,9,210.0,1,200,6,33.33,5.71
K Rabada,8.0,8,401.0,7,323,12,26.91,4.83
Rahmanullah Gurbaz,9.0,0,0.0,0,0,0,0,0
Rahmat Shah,9.0,1,6.0,0,12,0,0,12
KL Rahul,9.0,0,0.0,0,0,0,0,0
CAK Rajitha,6.0,6,294.0,1,336,8,42,6.85
AU Rashid,9.0,9,478.0,1,413,15,27.53,5.18
Rashid Khan,9.0,9,519.0,2,388,11,35.27,4.48
R Ravindra,9.0,8,352.0,0,333,5,66.6,5.67
JE Root,9.0,2,61.0,0,67,1,67,6.59
S Samarawickrama,9.0,0,0.0,0,0,0,0,0
MJ Santner,9.0,9,496.0,3,398,16,24.87,4.81
Saqib Zulfiqar,2.0,2,30.0,0,40,1,40,8
Saud Shakeel,9.0,0,0.0,0,0,0,0,0
Shadab Khan,6.0,5,228.0,0,237,2,118.5,6.23
Shaheen Shah Afridi,9.0,9,486.0,3,481,18,26.72,5.93
T Shamsi,3.0,3,167.0,0,170,7,24.28,6.1
MD Shanaka,2.0,2,66.0,0,64,0,0,5.81
Shakib Al Hasan,7.0,7,375.0,1,329,9,36.55,5.26
Shariz Ahmad,1.0,1,12.0,0,13,0,0,6.5
RG Sharma,9.0,1,5.0,0,7,1,7,8.4
Shoriful Islam,8.0,8,388.0,3,409,10,40.9,6.32
Shubman Gill,7.0,1,12.0,0,11,0,0,5.5
SPD Smith,8.0,0,0.0,0,0,0,0,0
IS Sodhi,1.0,1,24.0,0,44,0,0,11
TG Southee,3.0,3,138.0,0,156,4,39,6.78
MA Starc,8.0,8,402.0,1,439,10,43.9,6.55
MP Stoinis,6.0,6,114.0,0,143,4,35.75,7.52
BA Stokes,6.0,0,0.0,0,0,0,0,0
Tanzid Hasan,9.0,0,0.0,0,0,0,0,0
Tanzim Hasan Sakib,1.0,1,60.0,0,80,3,26.66,8
Taskin Ahmed,7.0,7,330.0,3,305,5,61,5.54
SN Thakur,3.0,3,102.0,0,102,2,51,6
M Theekshana,8.0,8,428.0,1,382,6,63.66,5.35
RJW Topley,3.0,3,166.0,2,183,8,22.87,6.61
Towhid Hridoy,7.0,0,0.0,0,0,0,0,0
Usama Mir,4.0,4,210.0,0,248,4,62,7.08
LV van Beek,8.0,8,425.0,1,476,12,39.66,6.72
HE van der Dussen,9.0,0,0.0,0,0,0,0,0
RE van der Merwe,8.0,8,336.0,0,311,6,51.83,5.55
PA van Meekeren,9.0,9,446.0,1,447,12,37.25,6.01
Vikramjit Singh,6.0,3,42.0,0,52,0,0,7.42
DA Warner,9.0,0,0.0,0,0,0,0,0
DN Wellalage,3.0,3,176.0,0,196,2,98,6.68
DJ Willey,6.0,6,306.0,6,259,11,23.54,5.07
LB Williams,1.0,1,52.0,1,56,2,28,6.46
KS Williamson,3.0,0,0.0,0,0,0,0,0
CR Woakes,8.0,8,330.0,1,298,10,29.8,5.41
MA Wood,7.0,7,324.0,1,349,6,58.16,6.46
SA Yadav,5.0,1,12.0,0,17,0,0,8.5
WA Young,6.0,0,0.0,0,0,0,0,0
A Zampa,9.0,9,474.0,1,416,22,18.9,5.26
