player_name,team,opponent_team,venue,match_runs,match_wickets,total_runs,highest_score,batting_avg,strike_rate,bowling_runs,total_wickets,bowling_avg,economy
A Dutt,Netherlands,Australia,"Arun Jaitley Stadium, Delhi",1,1,70,23,11.66,80.45,426,10,42.6,5.49
A Dutt,Netherlands,Bangladesh,"Eden Gardens, Kolkata",9,1,70,23,11.66,80.45,426,10,42.6,5.49
A Dutt,Netherlands,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",11,2,70,23,11.66,80.45,426,10,42.6,5.49
A Dutt,Netherlands,Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1,70,23,11.66,80.45,426,10,42.6,5.49
A Dutt,Netherlands,South Africa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",23,0,70,23,11.66,80.45,426,10,42.6,5.49
A Dutt,Netherlands,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",9,3,70,23,11.66,80.45,426,10,42.6,5.49
A Zampa,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",6,0,48,29,16.0,80.0,416,22,18.9,5.26
A Zampa,Australia,Netherlands,"Arun Jaitley Stadium, Delhi",1,4,48,29,16.0,80.0,416,22,18.9,5.26
A Zampa,Australia,New Zealand,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,3,48,29,16.0,80.0,416,22,18.9,5.26
A Zampa,Australia,Pakistan,"M Chinnaswamy Stadium, Bengaluru",1,4,48,29,16.0,80.0,416,22,18.9,5.26
A Zampa,Australia,South Africa,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",11,1,48,29,16.0,80.0,416,22,18.9,5.26
AAP Atkinson,England,South Africa,"Wankhede Stadium, Mumbai",35,2,37,35,18.5,160.86,146,4,36.5,6.08
AD Mathews,Sri Lanka,Afghanistan,"Maharashtra Cricket Association Stadium, Pune",23,0,51,23,12.75,65.38,107,6,17.83,4.82
AK Markram,South Africa,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",56,0,396,106,49.5,114.45,62,0,0.0,5.9
AK Markram,South Africa,Bangladesh,"Wankhede Stadium, Mumbai",60,0,396,106,49.5,114.45,62,0,0.0,5.9
AK Markram,South Africa,England,"Wankhede Stadium, Mumbai",42,0,396,106,49.5,114.45,62,0,0.0,5.9
AK Markram,South Africa,Netherlands,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,0,396,106,49.5,114.45,62,0,0.0,5.9
AK Markram,South Africa,New Zealand,"Maharashtra Cricket Association Stadium, Pune",6,0,396,106,49.5,114.45,62,0,0.0,5.9
AK Markram,South Africa,Pakistan,"MA Chidambaram Stadium, Chepauk, Chennai",91,0,396,106,49.5,114.45,62,0,0.0,5.9
AK Markram,South Africa,Sri Lanka,"Arun Jaitley Stadium, Delhi",106,0,396,106,49.5,114.45,62,0,0.0,5.9
AT Carey,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,0.0,0.0,0,0,0.0,0.0
AT Nidamanuru,Netherlands,Australia,"Arun Jaitley Stadium, Delhi",14,0,164,54,27.33,98.2,0,0,0.0,0.0
AT Nidamanuru,Netherlands,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",21,0,164,54,27.33,98.2,0,0,0.0,0.0
AT Nidamanuru,Netherlands,Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5,0,164,54,27.33,98.2,0,0,0.0,0.0
AT Nidamanuru,Netherlands,South Africa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",20,0,164,54,27.33,98.2,0,0,0.0,0.0
AT Nidamanuru,Netherlands,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",9,0,164,54,27.33,98.2,0,0,0.0,0.0
AU Rashid,England,Afghanistan,"Arun Jaitley Stadium, Delhi",20,4,92,20,15.33,101.09,413,15,27.53,5.18
AU Rashid,England,Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",11,1,92,20,15.33,101.09,413,15,27.53,5.18
AU Rashid,England,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",13,2,92,20,15.33,101.09,413,15,27.53,5.18
AU Rashid,England,New Zealand,"Narendra Modi Stadium, Ahmedabad",15,0,92,20,15.33,101.09,413,15,27.53,5.18
AU Rashid,England,South Africa,"Wankhede Stadium, Mumbai",10,2,92,20,15.33,101.09,413,15,27.53,5.18
AU Rashid,England,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru",2,0,92,20,15.33,101.09,413,15,27.53,5.18
Abdullah Shafique,Pakistan,Afghanistan,"MA Chidambaram Stadium, Chepauk, Chennai",58,0,336,113,42.0,93.33,0,0,0.0,0.0
Abdullah Shafique,Pakistan,Australia,"M Chinnaswamy Stadium, Bengaluru",64,0,336,113,42.0,93.33,0,0,0.0,0.0
Abdullah Shafique,Pakistan,Bangladesh,"Eden Gardens, Kolkata",68,0,336,113,42.0,93.33,0,0,0.0,0.0
Abdullah Shafique,Pakistan,India,"Narendra Modi Stadium, Ahmedabad",20,0,336,113,42.0,93.33,0,0,0.0,0.0
Abdullah Shafique,Pakistan,South Africa,"MA Chidambaram Stadium, Chepauk, Chennai",9,0,336,113,42.0,93.33,0,0,0.0,0.0
Abdullah Shafique,Pakistan,Sri Lanka,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",113,0,336,113,42.0,93.33,0,0,0.0,0.0
Azmatullah Omarzai,Afghanistan,Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",22,1,353,97,70.6,97.78,270,7,38.57,7.1
Azmatullah Omarzai,Afghanistan,England,"Arun Jaitley Stadium, Delhi",19,0,353,97,70.6,97.78,270,7,38.57,7.1
Azmatullah Omarzai,Afghanistan,India,"Arun Jaitley Stadium, Delhi",62,0,353,97,70.6,97.78,270,7,38.57,7.1
Azmatullah Omarzai,Afghanistan,New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",27,2,353,97,70.6,97.78,270,7,38.57,7.1
Azmatullah Omarzai,Afghanistan,Sri Lanka,"Maharashtra Cricket Association Stadium, Pune",73,1,353,97,70.6,97.78,270,7,38.57,7.1
BA Stokes,England,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,304,108,50.66,89.14,0,0,0.0,0.0
BA Stokes,England,South Africa,"Wankhede Stadium, Mumbai",5,0,304,108,50.66,89.14,0,0,0.0,0.0
BA Stokes,England,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru",43,0,304,108,50.66,89.14,0,0,0.0,0.0
BFW de Leede,Netherlands,Australia,"Arun Jaitley Stadium, Delhi",4,2,139,67,15.44,69.84,487,16,30.43,7.26
BFW de Leede,Netherlands,Bangladesh,"Eden Gardens, Kolkata",17,2,139,67,15.44,69.84,487,16,30.43,7.26
BFW de Leede,Netherlands,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,1,139,67,15.44,69.84,487,16,30.43,7.26
BFW de Leede,Netherlands,Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",67,4,139,67,15.44,69.84,487,16,30.43,7.26
BFW de Leede,Netherlands,South Africa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,2,139,67,15.44,69.84,487,16,30.43,7.26
BFW de Leede,Netherlands,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,0,139,67,15.44,69.84,487,16,30.43,7.26
BKG Mendis,Sri Lanka,Afghanistan,"Maharashtra Cricket Association Stadium, Pune",39,0,294,122,32.66,113.95,0,0,0.0,0.0
BKG Mendis,Sri Lanka,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",9,0,294,122,32.66,113.95,0,0,0.0,0.0
BKG Mendis,Sri Lanka,England,"M Chinnaswamy Stadium, Bengaluru",11,0,294,122,32.66,113.95,0,0,0.0,0.0
BKG Mendis,Sri Lanka,Netherlands,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",11,0,294,122,32.66,113.95,0,0,0.0,0.0
BKG Mendis,Sri Lanka,Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",122,0,294,122,32.66,113.95,0,0,0.0,0.0
BKG Mendis,Sri Lanka,South Africa,"Arun Jaitley Stadium, Delhi",76,0,294,122,32.66,113.95,0,0,0.0,0.0
Babar Azam,Pakistan,Afghanistan,"MA Chidambaram Stadium, Chepauk, Chennai",74,0,320,74,40.0,82.9,0,0,0.0,0.0
Babar Azam,Pakistan,Australia,"M Chinnaswamy Stadium, Bengaluru",18,0,320,74,40.0,82.9,0,0,0.0,0.0
Babar Azam,Pakistan,Bangladesh,"Eden Gardens, Kolkata",9,0,320,74,40.0,82.9,0,0,0.0,0.0
Babar Azam,Pakistan,India,"Narendra Modi Stadium, Ahmedabad",50,0,320,74,40.0,82.9,0,0,0.0,0.0
Babar Azam,Pakistan,Netherlands,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5,0,320,74,40.0,82.9,0,0,0.0,0.0
Babar Azam,Pakistan,South Africa,"MA Chidambaram Stadium, Chepauk, Chennai",50,0,320,74,40.0,82.9,0,0,0.0,0.0
Babar Azam,Pakistan,Sri Lanka,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",10,0,320,74,40.0,82.9,0,0,0.0,0.0
C Green,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",8,0,63,47,21.0,75.9,11,0,0.0,5.5
C Green,Australia,Netherlands,"Arun Jaitley Stadium, Delhi",8,0,63,47,21.0,75.9,11,0,0.0,5.5
C Karunaratne,Sri Lanka,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,0,8,6,4.0,28.57,73,0,0.0,6.08
CAK Rajitha,Sri Lanka,Afghanistan,"Maharashtra Cricket Association Stadium, Pune",5,1,52,33,13.0,91.22,336,8,42.0,6.85
CAK Rajitha,Sri Lanka,South Africa,"Arun Jaitley Stadium, Delhi",33,1,52,33,13.0,91.22,336,8,42.0,6.85
CBRLS Kumara,Sri Lanka,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,0,4,4,4.0,50.0,82,3,27.33,7.45
CN Ackermann,Netherlands,Australia,"Arun Jaitley Stadium, Delhi",10,0,216,69,24.0,82.12,234,5,46.8,4.94
CN Ackermann,Netherlands,Bangladesh,"Eden Gardens, Kolkata",15,2,216,69,24.0,82.12,234,5,46.8,4.94
CN Ackermann,Netherlands,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",69,0,216,69,24.0,82.12,234,5,46.8,4.94
CN Ackermann,Netherlands,Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",17,3,216,69,24.0,82.12,234,5,46.8,4.94
CN Ackermann,Netherlands,South Africa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",12,1,216,69,24.0,82.12,234,5,46.8,4.94
CN Ackermann,Netherlands,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",29,1,216,69,24.0,82.12,234,5,46.8,4.94
CR Woakes,England,Afghanistan,"Arun Jaitley Stadium, Delhi",9,0,131,51,18.71,84.51,298,10,29.8,5.41
CR Woakes,England,Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",14,2,131,51,18.71,84.51,298,10,29.8,5.41
CR Woakes,England,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",10,3,131,51,18.71,84.51,298,10,29.8,5.41
CR Woakes,England,New Zealand,"Narendra Modi Stadium, Ahmedabad",11,0,131,51,18.71,84.51,298,10,29.8,5.41
CR Woakes,England,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru",0,0,131,51,18.71,84.51,298,10,29.8,5.41
D Madushanka,Sri Lanka,Afghanistan,"Maharashtra Cricket Association Stadium, Pune",0,2,28,19,14.0,41.79,525,21,25.0,6.7
D Madushanka,Sri Lanka,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,3,28,19,14.0,41.79,525,21,25.0,6.7
D Madushanka,Sri Lanka,South Africa,"Arun Jaitley Stadium, Delhi",4,2,28,19,14.0,41.79,525,21,25.0,6.7
DA Miller,South Africa,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",17,0,255,53,36.42,119.15,0,0,0.0,0.0
DA Miller,South Africa,Bangladesh,"Wankhede Stadium, Mumbai",34,0,255,53,36.42,119.15,0,0,0.0,0.0
DA Miller,South Africa,England,"Wankhede Stadium, Mumbai",5,0,255,53,36.42,119.15,0,0,0.0,0.0
DA Miller,South Africa,Netherlands,"Himachal Pradesh Cricket Association Stadium, Dharamsala",43,0,255,53,36.42,119.15,0,0,0.0,0.0
DA Miller,South Africa,New Zealand,"Maharashtra Cricket Association Stadium, Pune",53,0,255,53,36.42,119.15,0,0,0.0,0.0
DA Miller,South Africa,Pakistan,"MA Chidambaram Stadium, Chepauk, Chennai",29,0,255,53,36.42,119.15,0,0,0.0,0.0
DA Miller,South Africa,Sri Lanka,"Arun Jaitley Stadium, Delhi",39,0,255,53,36.42,119.15,0,0,0.0,0.0
DA Warner,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",41,0,499,163,55.44,105.49,0,0,0.0,0.0
DA Warner,Australia,Netherlands,"Arun Jaitley Stadium, Delhi",104,0,499,163,55.44,105.49,0,0,0.0,0.0
DA Warner,Australia,New Zealand,"Himachal Pradesh Cricket Association Stadium, Dharamsala",81,0,499,163,55.44,105.49,0,0,0.0,0.0
DA Warner,Australia,Pakistan,"M Chinnaswamy Stadium, Bengaluru",163,0,499,163,55.44,105.49,0,0,0.0,0.0
DA Warner,Australia,South Africa,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",13,0,499,163,55.44,105.49,0,0,0.0,0.0
DA Warner,Australia,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",11,0,499,163,55.44,105.49,0,0,0.0,0.0
DJ Malan,England,Afghanistan,"Arun Jaitley Stadium, Delhi",32,0,404,140,44.88,101.0,0,0,0.0,0.0
DJ Malan,England,Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",140,0,404,140,44.88,101.0,0,0,0.0,0.0
DJ Malan,England,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,0,404,140,44.88,101.0,0,0,0.0,0.0
DJ Malan,England,New Zealand,"Narendra Modi Stadium, Ahmedabad",14,0,404,140,44.88,101.0,0,0,0.0,0.0
DJ Malan,England,South Africa,"Wankhede Stadium, Mumbai",6,0,404,140,44.88,101.0,0,0,0.0,0.0
DJ Malan,England,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru",28,0,404,140,44.88,101.0,0,0,0.0,0.0
DJ Mitchell,New Zealand,Afghanistan,"MA Chidambaram Stadium, Chepauk, Chennai",1,0,418,130,59.71,110.58,12,0,0.0,8.0
DJ Mitchell,New Zealand,Australia,"Himachal Pradesh Cricket Association Stadium, Dharamsala",54,0,418,130,59.71,110.58,12,0,0.0,8.0
DJ Mitchell,New Zealand,Bangladesh,"MA Chidambaram Stadium, Chepauk, Chennai",89,0,418,130,59.71,110.58,12,0,0.0,8.0
DJ Mitchell,New Zealand,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",130,0,418,130,59.71,110.58,12,0,0.0,8.0
DJ Mitchell,New Zealand,Netherlands,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",48,0,418,130,59.71,110.58,12,0,0.0,8.0
DJ Mitchell,New Zealand,South Africa,"Maharashtra Cricket Association Stadium, Pune",24,0,418,130,59.71,110.58,12,0,0.0,8.0
DJ Willey,England,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,3,78,16,19.5,116.41,259,11,23.54,5.07
DJ Willey,England,South Africa,"Wankhede Stadium, Mumbai",12,0,78,16,19.5,116.41,259,11,23.54,5.07
DJ Willey,England,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru",14,2,78,16,19.5,116.41,259,11,23.54,5.07
DM de Silva,Sri Lanka,Afghanistan,"Maharashtra Cricket Association Stadium, Pune",14,0,140,34,20.0,76.08,174,0,0.0,6.96
DM de Silva,Sri Lanka,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7,0,140,34,20.0,76.08,174,0,0.0,6.96
DM de Silva,Sri Lanka,Netherlands,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",30,0,140,34,20.0,76.08,174,0,0.0,6.96
DM de Silva,Sri Lanka,Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",25,0,140,34,20.0,76.08,174,0,0.0,6.96
DM de Silva,Sri Lanka,South Africa,"Arun Jaitley Stadium, Delhi",11,0,140,34,20.0,76.08,174,0,0.0,6.96
DN Wellalage,Sri Lanka,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1,12,10,4.0,66.66,196,2,98.0,6.68
DN Wellalage,Sri Lanka,Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",10,0,12,10,4.0,66.66,196,2,98.0,6.68
DN Wellalage,Sri Lanka,South Africa,"Arun Jaitley Stadium, Delhi",0,1,12,10,4.0,66.66,196,2,98.0,6.68
DP Conway,New Zealand,Afghanistan,"MA Chidambaram Stadium, Chepauk, Chennai",20,0,359,152,44.87,102.27,0,0,0.0,0.0
DP Conway,New Zealand,Australia,"Himachal Pradesh Cricket Association Stadium, Dharamsala",28,0,359,152,44.87,102.27,0,0,0.0,0.0
DP Conway,New Zealand,Bangladesh,"MA Chidambaram Stadium, Chepauk, Chennai",45,0,359,152,44.87,102.27,0,0,0.0,0.0
DP Conway,New Zealand,England,"Narendra Modi Stadium, Ahmedabad",152,0,359,152,44.87,102.27,0,0,0.0,0.0
DP Conway,New Zealand,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,0,359,152,44.87,102.27,0,0,0.0,0.0
DP Conway,New Zealand,Netherlands,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",32,0,359,152,44.87,102.27,0,0,0.0,0.0
DP Conway,New Zealand,South Africa,"Maharashtra Cricket Association Stadium, Pune",2,0,359,152,44.87,102.27,0,0,0.0,0.0
FDM Karunaratne,Sri Lanka,Afghanistan,"Maharashtra Cricket Association Stadium, Pune",15,0,15,15,7.5,68.18,0,0,0.0,0.0
Fakhar Zaman,Pakistan,Bangladesh,"Eden Gardens, Kolkata",81,0,220,126,73.33,122.9,0,0,0.0,0.0
Fakhar Zaman,Pakistan,Netherlands,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",12,0,220,126,73.33,122.9,0,0,0.0,0.0
Fazalhaq Farooqi,Afghanistan,Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,2,2,2,2.0,22.22,228,6,38.0,5.7
Fazalhaq Farooqi,Afghanistan,England,"Arun Jaitley Stadium, Delhi",2,1,2,2,2.0,22.22,228,6,38.0,5.7
Fazalhaq Farooqi,Afghanistan,New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,2,2,2.0,22.22,228,6,38.0,5.7
G Coetzee,South Africa,England,"Wankhede Stadium, Mumbai",3,3,35,22,11.66,89.74,349,18,19.38,6.4
G Coetzee,South Africa,Netherlands,"Himachal Pradesh Cricket Association Stadium, Dharamsala",22,1,35,22,11.66,89.74,349,18,19.38,6.4
G Coetzee,South Africa,Pakistan,"MA Chidambaram Stadium, Chepauk, Chennai",10,2,35,22,11.66,89.74,349,18,19.38,6.4
GD Phillips,New Zealand,Afghanistan,"MA Chidambaram Stadium, Chepauk, Chennai",71,0,244,71,40.66,109.9,200,6,33.33,5.71
GD Phillips,New Zealand,Australia,"Himachal Pradesh Cricket Association Stadium, Dharamsala",12,3,244,71,40.66,109.9,200,6,33.33,5.71
